# CrokTile adapt-from-best: f16_128x8192x8192
# Reference: /home/albert/workspace/choreo/benchmark/performance/gemm_sp/gemm_sp_f16_aitune_2026-03-25_iter143/gemm_sp_f16_iter143_ref_adapted.cu
# Shape: M=128 N=8192 K=8192  Dtype: f16  Max iter: 30
iter	kernel	tflops	hw_eff_pct	decision	bottleneck	idea_summary	run_command
0	seed.cu	188.8310	12.4805	BASELINE	baseline	reference seed baseline with shape-aware tensor maps	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_baseline --skip-verify
1	iter001_l2_256b.cu	187.5540	12.3962	DISCARD	ncu_timeout	L2_256B promotion on all tensor maps	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter001 --skip-verify
2	iter002_wn128_dynamic.cu	189.2380	12.5075	KEEP	ncu_timeout	port dynamic low-M WN128 scheduling from nearby low-M winner	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter002 --skip-verify
3	iter003_wn128_ns100.cu	188.8110	12.4793	DISCARD	ncu_timeout	add producer nanosleep(100) on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter003_wn128_ns100 --skip-verify
4	iter004_wn128_l2out.cu	188.5500	12.4620	DISCARD	ncu_timeout	promote output tensor map to L2_256B on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter004_wn128_l2out --skip-verify
5	iter005_wn128_l2lhsmeta.cu	189.5910	12.5308	KEEP	ncu_timeout	promote LHS and metadata tensor maps to L2_256B on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter005_wn128_l2lhsmeta --skip-verify
6	iter006_wn128_wait0.cu	173.9330	11.4959	DISCARD	ncu_timeout	tighten warpgroup wait depth to 0 on WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter006_wn128_wait0 --skip-verify
7	iter007_wn128_maxreg128.cu	187.9630	12.4232	DISCARD	ncu_timeout	constrain WN128 dynamic variant with maxrregcount=128	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter007_wn128_maxreg128 --skip-verify
8	iter008_wn128_maxreg160.cu	187.7650	12.4101	DISCARD	ncu_timeout	constrain WN128 dynamic variant with maxrregcount=160	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter008_wn128_maxreg160 --skip-verify
9	iter009_wn128_launchbounds.cu	187.8750	12.4174	DISCARD	ncu_timeout	add launch_bounds(384,1) to WN128 dynamic variant	CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_128x8192x8192_iter009_wn128_launchbounds --skip-verify
